5362944, 5.00679016113e-05, 10, 12
5362944, 4.6968460083e-05, 10, 12
5362944, 3.69548797607e-05, 10, 12
5362944, 3.69548797607e-05, 10, 12
5362944, 4.10079956055e-05, 10, 12
5366824, 0.000111818313599, 50, 568
5366824, 0.000111818313599, 50, 568
5366824, 0.000133991241455, 50, 568
5366824, 0.000111818313599, 50, 568
5366824, 0.000110864639282, 50, 568
5371576, 0.000360012054443, 100, 2230
5371576, 0.000210046768188, 100, 2230
5371576, 0.000360012054443, 100, 2230
5371576, 0.000208139419556, 100, 2230
5371576, 0.000243902206421, 100, 2230
5386024, 0.000530004501343, 250, 15421
5386024, 0.000948190689087, 250, 15421
5386024, 0.000530958175659, 250, 15421
5386024, 0.000529050827026, 250, 15421
5386024, 0.000530958175659, 250, 15421
5410216, 0.00113201141357, 500, 62683
5410216, 0.0011739730835, 500, 62683
5410216, 0.00110197067261, 500, 62683
5410216, 0.00192594528198, 500, 62683
5410216, 0.00139188766479, 500, 62683
5458504, 0.00240802764893, 1000, 249020
5458504, 0.0022828578949, 1000, 249020
5458504, 0.00260591506958, 1000, 249020
5458504, 0.00234007835388, 1000, 249020
5458504, 0.00305414199829, 1000, 249020
5555080, 0.00495409965515, 2000, 980322
5555080, 0.00504493713379, 2000, 980322
5555080, 0.00501704216003, 2000, 980322
5555080, 0.00528502464294, 2000, 980322
5555080, 0.00514197349548, 2000, 980322
5651640, 0.00783205032349, 3000, 2303533
5651640, 0.00857305526733, 3000, 2303533
5651640, 0.00778102874756, 3000, 2303533
5651640, 0.00787305831909, 3000, 2303533
5651640, 0.00774097442627, 3000, 2303533
5748200, 0.0110750198364, 4000, 4024853
5748200, 0.0105609893799, 4000, 4024853
5748200, 0.0107889175415, 4000, 4024853
5748200, 0.0161621570587, 4000, 4024853
5748200, 0.0106670856476, 4000, 4024853
5844776, 0.0134909152985, 5000, 6201399
5844776, 0.0133500099182, 5000, 6201399
5844776, 0.0133481025696, 5000, 6201399
5844776, 0.0135660171509, 5000, 6201399
5844776, 0.0133221149445, 5000, 6201399
